134,Косукэ Китадзима,Япония,Плавание,2004—2012,4,1,2,7
135,Ллойд Спунер,США,Стрелковый спорт,1920,4,1,2,7
136,Лизбет Трикетт,Австралия,Плавание,2004—2012,4,1,2,7
137,Шарль Амлен,Канада,Шорт-трек,2006—2022,4,1,1,6
138,Ван Мэн,Китай,Шорт-трек,2006—2010,4,1,1,6
139,Катрин Вагнер-Аугустин,Германия,Гребля на байдарках и каноэ,2000—2012,4,1,1,6
140,Дарья Домрачева,Белоруссия,Биатлон,2010—2018,4,1,1,6
141,Дойна Игнат,Румыния,Академическая гребля,1992—2008,4,1,1,6
142,Тереза Йохауг,Норвегия,Лыжные гонки,2010—2022,4,1,1,6
143,Ким Су Нён,Республика Корея,Стрельба из лука,1988—2000,4,1,1,6
144,Райан Мёрфи,США,Плавание,2016—2020,4,1,1,6
145,Леонтин ван Морсел,Нидерланды,Велосипедный спорт,2000—2004,4,1,1,6
146,Елена Новикова-Белова,СССР,Фехтование,1968—1976,4,1,1,6
147,Маррей Роуз,Австралия,Плавание,1956—1960,4,1,1,6
148,Гунде Сван,Швеция,Лыжные гонки,1984—1988,4,1,1,6
149,Виктор Сидяк,СССР,Фехтование,1968—1980,4,1,1,6
150,Владимир Артёмов,СССР,Спортивная гимнастика,1988,4,1,0,5
151,Ван Нань,Китай,Настольный теннис,2000—2008,4,1,0,5
152,Евгений Гришин,СССР,Конькобежный спорт,1956—1964,4,1,0,5
153,Эмиль Затопек,Чехословакия,Лёгкая атлетика,1948—1952,4,1,0,5
154,Николай Зимятов,СССР,Лыжные гонки,1980—1984,4,1,0,5
155,Яна Клочкова,Украина,Плавание,2000—2004,4,1,0,5
156,Ханнес Колехмайнен,Финляндия,Лёгкая атлетика,1912—1920,4,1,0,5
157,Юхан-Улаф Косс,Норвегия,Конькобежный спорт,1992—1994,4,1,0,5
158,Андре Ланге,Германия,Бобслей,2002—2010,4,1,0,5
159,Грег Луганис,США,Прыжки в воду,1976—1988,4,1,0,5
160,Валентин Муратов,СССР,Спортивная гимнастика,1952—1956,4,1,0,5
161,Джон Нейбер,США,Плавание,1976,4,1,0,5
162,Матти Нюкянен,Финляндия,Прыжки на лыжах с трамплина,1984—1988,4,1,0,5
163,Шарль Паю де Мортанж,Нидерланды,Конный спорт,1924—1936,4,1,0,5
164,Оресте Пулити,Италия,Фехтование,1920—1928,4,1,0,5
165,Екатерина Сабо,Румыния,Спортивная гимнастика,1984,4,1,0,5
166,Александр Тихонов,СССР,Биатлон,1968—1980,4,1,0,5
167,Винус Уильямс,США,Теннис,2000—2016,4,1,0,5
168,Хейли Уикенхайзер,Канада,Хоккей с шайбой,1998—2014,4,1,0,5
169,Иан Фергюсон,Новая Зеландия,Гребля на байдарках и каноэ,1984—1988,4,1,0,5
170,Рамон Фонст,Куба,Фехтование,1900—1904,4,1,0,5
171,Фу Минся,Китай,Прыжки в воду,1992—2000,4,1,0,5
172,Джейна Хеффорд,Канада,Хоккей с шайбой,1998—2014,4,1,0,5
173,Мелвин Шеппард,США,Лёгкая атлетика,1908—1912,4,1,0,5
174,Джанет Эванс,США,Плавание,1988—1992,4,1,0,5
175,Бен Эйнсли,Великобритания,Парусный спорт,1996—2012,4,1,0,5
176,Эвелин Эшфорд,США,Лёгкая атлетика,1984—1992,4,1,0,5
177,Дьёзё Кульчар,Венгрия,Фехтование,1964—1976,4,0,2,6
178,Лудгер Бербаум,ФРГ Германия,Конный спорт,1988—2016,4,0,1,5
179,Катрин Борон,Германия,Академическая гребля,1992—2008,4,0,1,5
180,Джорджо Дзампори,Италия,Спортивная гимнастика,1912—1924,4,0,1,5
181,Ли Сяопэн,Китай,Спортивная гимнастика,2000—2008,4,0,1,5
182,Джон Олсен,США,Плавание,1992—1996,4,0,1,5
183,Станислав Поздняков,Объединённая команда Россия,Фехтование,1992—2004,4,0,1,5
184,Саня Ричардс-Росс,США,Лёгкая атлетика,2004—2012,4,0,1,5
185,Вьорика Сусану,Румыния,Академическая гребля,2000—2008,4,0,1,5
186,Маркус Харли,США,Велосипедный спорт,1904,4,0,1,5
187,Чон Ли Гён,Республика Корея,Шорт-трек,1994—1998,4,0,1,5
188,Тереза Эдвардс,США,Баскетбол,1984—2000,4,0,1,5
189,Симон Амман,Швейцария,Прыжки на лыжах с трамплина,2002—2010,4,0,0,4
190,Фанни Бланкерс-Кун,Нидерланды,Лёгкая атлетика,1948,4,0,0,4
191,Томас Вассберг,Швеция,Лыжные гонки,1980—1988,4,0,0,4
192,Бербель Вёккель,ГДР,Лёгкая атлетика,1976—1980,4,0,0,4
193,Лассе Вирен,Финляндия,Лёгкая атлетика,1972—1976,4,0,0,4
194,Тамаш Дарньи,Венгрия,Плавание,1988—1992,4,0,0,4
195,Майкл Джонсон,США,Лёгкая атлетика,1992—2000,4,0,0,4
196,Дэн Япин,Китай,Настольный теннис,1992—1996,4,0,0,4
197,Харрисон Диллард,США,Лёгкая атлетика,1948—1952,4,0,0,4
198,Анастасия Ермакова,Россия,Синхронное плавание,2004—2008,4,0,0,4
199,Каори Итё,Япония,Вольная борьба,2004—2016,4,0,0,4
200,Бетти Катберт,Австралия,Лёгкая атлетика,1956—1964,4,0,0,4
201,Дарио Колонья,Швейцария,Лыжные гонки,2010—2018,4,0,0,4
202,Роберт Корженёвский,Польша,Лёгкая атлетика,1996—2004,4,0,0,4
203,Ленни Крайзельбург,США,Плавание,2000—2004,4,0,0,4
204,Виктор Кровопусков,СССР,Фехтование,1976—1980,4,0,0,4
205,Элвин Крэнцлайн,США,Лёгкая атлетика,1900,4,0,0,4
206,Тамика Кэтчингс,США,Баскетбол,2004—2016,4,0,0,4
207,Лиза Лесли,США,Баскетбол,1996—2008,4,0,0,4
208,Михаин Лопес,Куба,Греко-римская борьба,2008—2020,4,0,0,4
209,Пэт Маккормик,США,Прыжки в воду,1952—1956,4,0,0,4
210,Торстен Маргис,Германия,Бобслей,2018—2022,4,0,0,4
211,Эл Ортер,США,Лёгкая атлетика,1956—1968,4,0,0,4
212,Джесси Оуэнс,США,Лёгкая атлетика,1936,4,0,0,4
213,Карло Павези,Италия,Фехтование,1952—1960,4,0,0,4
214,Мэттью Пинсент,Великобритания,Академическая гребля,1992—2004,4,0,0,4
215,Пол Радмилович,Великобритания,"Водное поло, Плавание",1908—1920,4,0,0,4
216,Владимир Сальников,СССР,Плавание,1980—1988,4,0,0,4
217,Хенри Сен-Сир,Швеция,Конный спорт,1952—1956,4,0,0,4
218,Серена Уильямс,США,Теннис,2000—2012,4,0,0,4
219,Николь Упхофф,Германия,Конный спорт,1988—1992,4,0,0,4
220,Каролин Уэллетт,Канада,Хоккей с шайбой,2002—2014,4,0,0,4
221,Мо Фара,Великобритания,Лёгкая атлетика,2012—2016,4,0,0,4
222,Сильвия Фаулз,США,Баскетбол,2008—2020,4,0,0,4
223,Франческо Фридрих,Германия,Бобслей,2018—2022,4,0,0,4
224,Йенё Фукс,Венгрия,Фехтование,1908—1912,4,0,0,4
225,Чжан Инин,Китай,Настольный теннис,2004—2008,4,0,0,4
226,Ши Тинмао,Китай,Прыжки в воду,2016—2020,4,0,0,4
227,Карл Шуман,Германия,"Спортивная гимнастика, борьба",1896,4,0,0,4
228,Пауль Эльвстрём,Дания,Парусный спорт,1948—1960,4,0,0,4
